date,description,amount
2024-03-01,Зарплата ООО "Технопрогресс",185000
2024-03-02,Оплата аренды квартиры,-45000
2024-03-03,Перевод от клиента за консультацию,15000
2024-03-05,Покупка в Пятёрочке,-2350
2024-03-05,Оплата интернета Ростелеком,-1200
2024-03-07,Перевод маме на день рождения,-5000
2024-03-08,Цветы жене,-3500
2024-03-10,Заправка автомобиля BP,-4200
2024-03-12,Обед в столовой,-450
2024-03-12,Оплата мобильной связи МТС,-750
2024-03-15,Бонус за квартал,75000
2024-03-15,Покупка продуктов в Ашане,-8500
2024-03-16,Поход в кино с семьей,-2800
2024-03-18,Оплата за детский сад,-15000
2024-03-20,Доход от сдачи квартиры,35000
2024-03-21,Оплата ЖКХ,-7800
2024-03-22,Стрижка в барбершопе,-2500
2024-03-23,Покупка одежды в H&M,-12500
2024-03-25,Возврат долга от друга,10000
2024-03-26,Оплата курсов английского,-8000